feature_id;NS.1905.001.NEBNext_dual_i7_147---NEBNext_dual_i5_147.BS2_120;NS.1905.001.NEBNext_dual_i7_152---NEBNext_dual_i5_152.BM1_120;NS.1905.001.NEBNext_dual_i7_149---NEBNext_dual_i5_149.BS3_20;NS.1905.001.NEBNext_dual_i7_142---NEBNext_dual_i5_142.BM2_20;NS.1905.001.NEBNext_dual_i7_143---NEBNext_dual_i5_143.BM3_120;NS.1905.001.NEBNext_dual_i7_151---NEBNext_dual_i5_151.BS3_120;NS.1905.001.NEBNext_dual_i7_148---NEBNext_dual_i5_148.BM1_20;NS.1905.001.NEBNext_dual_i7_144---NEBNext_dual_i5_144.BM2_120;NS.1905.001.NEBNext_dual_i7_150---NEBNext_dual_i5_150.BS1_20;NS.1905.001.NEBNext_dual_i7_141---NEBNext_dual_i5_141.BS1_120;NS.1905.001.NEBNext_dual_i7_145---NEBNext_dual_i5_145.BM3_20;NS.1905.001.NEBNext_dual_i7_146---NEBNext_dual_i5_146.BS2_20
NMG90_02655;11;17;4;17;14;8;14;18;11;19;11;17
NMG90_24680;4;7;0;11;8;12;13;17;7;6;14;6
NMG90_22655;617;1254;370;519;376;422;977;621;887;1539;441;721
NMG90_08730;1440;1223;2048;1917;839;1126;2691;1167;1452;2133;1658;1342
NMG90_18615;49;38;28;63;38;40;33;53;38;77;29;54
NMG90_22200;1534;975;433;489;635;958;553;1176;352;915;480;442
NMG90_18415;7701;4527;13508;22491;3518;5582;29286;7018;28601;9867;20445;24262
NMG90_15335;704;540;686;600;494;357;957;542;614;752;562;908
NMG90_07905;58;87;101;148;71;101;168;57;87;114;91;90
NMG90_24710;1;1;7;0;15;0;17;5;11;3;0;6
NMG90_09290;452;330;793;898;274;332;1334;336;789;816;659;708
NMG90_21195;600;561;572;536;365;523;644;545;343;607;482;502
NMG90_00290;463;327;334;309;207;267;504;274;329;551;363;259
NMG90_15350;410;392;347;494;345;263;628;520;451;720;432;489
NMG90_24220;5014;6078;4770;3181;3856;5997;4360;5296;3274;4718;3432;2544
NMG90_18905;2145;1573;1664;1822;1141;877;2292;1332;1945;1718;1559;2760
NMG90_15610;80;65;115;198;60;83;317;87;168;97;134;165
NMG90_00925;526;487;541;751;340;524;951;505;582;652;664;657
NMG90_04760;583;111;131;107;123;208;139;206;93;79;184;203
NMG90_24385;83657;60363;85687;85286;42360;57863;120562;73155;71955;63583;91374;75175
NMG90_07030;401;292;228;260;257;244;361;305;274;388;279;249
NMG90_04345;4238;2448;1407;1161;2045;2382;1504;2400;985;1852;1313;1548
NMG90_05775;4;3;8;5;2;4;12;0;5;2;4;10
NMG90_20285;95907;108687;64578;66835;59617;86750;105016;88024;53487;86656;75967;65066
NMG90_10835;16;17;24;33;10;17;25;13;28;17;29;38
NMG90_07675;81;63;96;135;50;54;210;96;205;149;99;99
NMG90_16310;94741;61031;22019;28403;41323;79819;41704;74805;14801;28489;31321;34675
NMG90_17665;1543;1040;1050;838;648;1093;1209;1128;779;913;842;901
NMG90_12630;97775;86549;49450;57469;57127;87919;96996;88799;39465;84866;56139;64886
NMG90_04235;6140;5733;5003;3714;3951;4043;5137;4467;4141;6516;3606;3869
NMG90_18670;1039;949;2281;2695;901;578;3317;881;3930;1439;2016;3354
NMG90_20515;177;247;313;229;126;149;445;204;277;336;225;238
NMG90_18025;1422;1159;1470;1301;1036;1225;1401;1006;982;1766;1207;995
NMG90_25250;389;291;262;303;240;190;411;249;262;422;231;321
NMG90_07545;63966;59711;96965;101909;71129;49010;104693;61536;103611;94146;74467;89006
NMG90_12485;293;138;231;219;104;173;353;97;110;245;319;303
NMG90_20225;113;113;111;102;65;148;100;122;116;160;141;62
NMG90_18780;24210;23708;34705;37934;21462;11483;36005;20815;57362;35742;27034;42155
NMG90_02350;119;136;131;92;91;115;179;111;81;211;119;98
NMG90_05550;8867;6184;3776;3263;3807;4862;4283;5623;3007;6564;2937;3797
NMG90_25265;607;488;598;527;367;366;717;346;455;593;461;450
NMG90_16960;6904;4041;4244;4919;2746;2847;5580;3841;4396;3424;4861;6452
NMG90_19520;28;45;33;57;29;26;89;24;60;72;46;45
NMG90_03045;1448;1128;773;898;1028;1004;1139;1220;968;1385;725;1102
NMG90_23040;128167;103400;57225;65361;72347;76694;98611;96303;66541;48321;74541;127850
NMG90_00885;2018;1523;2274;2640;1831;927;2818;2000;2544;2202;2173;2484
NMG90_23775;20;20;23;12;17;21;48;42;19;44;27;29
NMG90_12585;1468;882;153;150;697;1087;132;1191;128;1343;114;93
NMG90_03335;5428;4457;5062;4467;3004;2996;6497;3610;4213;5546;4372;4626
NMG90_07870;8569;5819;6111;6252;4802;6705;8056;5240;5912;6044;5733;6382
NMG90_14725;3688;3296;4435;4212;2593;2462;6366;3192;3660;5486;4181;3647
NMG90_00800;1120;945;849;727;661;689;1119;825;657;1073;639;653
NMG90_05165;176;124;45;72;41;89;108;97;64;85;84;104
NMG90_14120;10178;8163;9020;9928;5393;5802;13894;7378;9246;8882;8638;9973
NMG90_10390;334;413;730;662;258;256;913;340;633;611;519;468
NMG90_07240;3532;3073;3308;3911;2486;3382;5718;3775;3984;3885;3586;4756
NMG90_10430;78;105;72;96;96;75;184;114;68;108;60;83
NMG90_19150;1401;1105;1089;910;894;779;1302;1018;867;1435;917;948
NMG90_22040;187145;148875;174024;148058;109797;139757;222240;134177;110926;147188;140860;109145
NMG90_00845;1579;1337;1423;1198;1108;1094;2034;1361;1241;2069;1248;1371
NMG90_05580;78121;65213;100228;93322;70911;41607;107171;62334;72076;53808;78107;84168
NMG90_06775;127;101;74;95;65;63;164;84;72;161;95;102
NMG90_21350;20;6;16;14;7;11;21;30;30;32;15;13
NMG90_15785;3550;3106;3871;4110;2993;2691;4650;2990;3880;4728;3265;3480
NMG90_06235;473;370;429;398;297;349;596;420;449;555;399;402
NMG90_23215;1272;1068;1227;1109;768;974;1843;826;1024;1468;986;1085
NMG90_23285;3681;3287;5727;5347;2006;3422;8604;2369;4785;5112;4468;3923
NMG90_07715;4374;2772;3703;4467;2908;2160;4718;2890;3456;3249;3937;6236
NMG90_03910;26954;20004;16014;15776;16119;16524;18603;18412;14849;18012;14364;17104
NMG90_14045;861;576;640;723;635;580;989;588;786;1206;599;676
NMG90_15830;138;97;82;93;113;86;111;101;86;147;102;101
NMG90_13305;31735;22493;23359;24401;18863;20154;37159;21805;16250;17911;16876;13264
NMG90_10155;14418;11257;8385;6654;6553;11227;11288;11632;6269;11534;8620;7884
NMG90_03475;3246;2518;1515;1355;2070;1983;1484;2632;1137;2558;1395;1761
NMG90_23975;337;312;361;304;205;235;461;270;281;355;339;272
NMG90_03780;8588;13451;3683;3716;4202;5205;4341;5001;5559;10675;4765;3153
NMG90_21235;1362;1387;1183;1099;689;1175;1567;1169;956;1450;1241;1002
NMG90_14840;5569;4227;2127;2041;4429;4974;2352;5719;2298;6133;1802;2812
NMG90_11465;224;129;216;238;141;170;181;201;258;131;167;213
NMG90_13200;19859;15114;15119;15075;10406;13131;22948;14775;12377;17082;13334;14199
NMG90_20840;548;386;454;442;300;346;730;418;536;851;372;570
NMG90_24575;171;109;119;73;84;86;125;135;90;168;162;117
NMG90_16640;1313;877;475;565;664;519;658;906;523;881;534;629
NMG90_02045;718;422;419;450;370;411;500;475;329;508;338;336
NMG90_23680;61;66;28;29;38;39;36;60;25;43;22;16
NMG90_05725;14045;12559;22138;18248;7144;10489;29000;12029;16800;16301;18370;13341
NMG90_03350;9626;7442;4005;3350;5161;10457;2843;8785;2557;6637;4008;4051
NMG90_01525;2378;1774;2056;2279;1024;1428;3443;1941;2170;2489;2519;2492
NMG90_00820;342;254;295;279;221;229;421;239;229;402;270;288
NMG90_11195;5234;4132;5547;6450;3274;2538;6746;3855;8329;5091;4989;7173
NMG90_02855;6710;5009;9042;8815;3779;5818;12592;5250;8297;6795;9149;7765
NMG90_10875;942;732;1416;1585;706;769;2218;950;1710;1926;1337;1349
NMG90_06420;90;58;58;59;33;51;46;84;76;51;53;93
NMG90_16365;3945;3058;2591;2193;2002;2648;3626;2987;2048;3373;2282;2208
NMG90_14470;5703;5396;7347;7262;3966;4199;8803;4343;7791;7476;6112;6004
NMG90_11980;6762;4373;8629;11540;4735;6659;9719;7336;10533;11042;8006;9330
NMG90_07890;5039;4782;5110;4753;2712;3200;7168;3819;3926;5312;4377;3468
NMG90_00495;3730;2231;2375;2474;1886;2741;3143;2862;2428;2316;2445;2332
NMG90_06530;2319;1440;1438;1417;1300;1591;1823;1916;1123;2168;1420;1545
NMG90_14115;3267;2301;2296;2485;1722;1974;2948;2197;2554;2700;2177;2684
NMG90_21970;28;43;738;1283;50;59;769;138;1034;311;590;764
NMG90_24230;784;582;256;234;421;594;312;546;197;356;295;262
NMG90_24100;34693;23925;19869;20466;20911;23527;28227;25941;17588;33690;17496;22261
NMG90_06145;471;221;658;663;187;206;266;298;160;202;1370;2557
NMG90_08900;1658;1249;1232;1499;1187;740;1698;1184;1728;1900;1143;1748
NMG90_06170;1457;1133;709;622;720;930;967;957;490;1003;865;884
NMG90_05190;71880;49711;40988;40180;39312;35805;42065;44862;38322;48298;34073;35996
NMG90_01125;14;8;17;14;9;14;29;26;18;8;6;19
NMG90_05565;72825;52894;93024;94012;54962;41117;106233;50417;77567;36697;79925;99583
NMG90_08460;101;105;61;86;55;33;124;80;68;77;70;76
NMG90_05840;29;3;10;1;9;14;10;7;7;14;15;5
NMG90_04875;25;40;36;13;10;21;52;16;26;35;28;13
NMG90_03450;112;49;98;106;79;82;170;74;113;135;119;120
NMG90_14040;1870;1660;1926;1865;1741;1213;2414;1388;1731;2604;1513;1832
NMG90_05980;4265;2714;1042;1101;1623;2453;1759;2761;1122;1798;1184;1823
NMG90_15110;7099;7546;4737;3969;5233;9339;4985;7951;4237;5681;3946;2776
NMG90_03990;4536;4055;4816;3958;2485;3134;5488;3661;3841;4817;3686;3377
NMG90_16300;511948;353843;122980;159456;240377;448458;242253;430689;89450;182315;169877;199385
NMG90_03585;3126;2004;1882;1798;2076;1668;1833;2144;1896;2304;1632;2098
NMG90_07035;696;1092;1032;800;405;631;975;613;461;660;1234;514
NMG90_01270;884;822;796;753;685;720;1183;668;875;1048;667;712
NMG90_13975;304;195;379;341;233;202;447;275;349;401;237;295
NMG90_10570;572;596;658;626;472;479;886;454;501;959;526;548
NMG90_06285;2700;2146;2210;2361;1262;1760;3195;2281;2061;2369;2285;2282
NMG90_14655;2800;2045;1628;1530;1501;2011;1943;2147;1128;2264;1453;1692
NMG90_08190;9237;9883;23025;20230;7293;8700;23808;9307;17205;12040;18111;11137
NMG90_21210;104;59;98;88;71;101;75;68;41;96;34;81
NMG90_22130;1000;662;1006;1064;875;566;1110;874;849;988;747;575
NMG90_21880;63;35;76;37;34;32;88;87;32;81;38;57
NMG90_01580;490;439;556;499;296;302;881;357;371;491;403;456
NMG90_17605;1057;635;852;1215;466;565;868;691;813;775;732;980
NMG90_06115;106;44;36;65;40;51;83;72;71;45;75;54
NMG90_08440;824;884;1210;937;634;664;1085;676;851;924;909;755
NMG90_13940;11;14;7;17;11;18;17;18;3;14;21;11
NMG90_08975;373;263;302;195;233;167;373;267;269;373;202;290
NMG90_06580;1250;1031;631;494;725;884;846;857;577;1252;465;558
NMG90_24970;144;96;95;33;92;68;58;108;29;36;60;37
NMG90_16395;2777;1888;1753;1692;1300;1150;1508;1341;1619;2071;1817;2113
NMG90_17375;179;80;376;432;62;56;154;149;135;64;963;2217
NMG90_18700;11011;10302;22409;26942;8729;5190;29258;9651;44995;16032;20173;29424
NMG90_09805;7004;2765;1173;833;3410;4744;1824;5050;512;2315;1090;2158
NMG90_12395;5475;5233;6726;6080;3554;4219;8221;4569;5935;6314;5845;5689
NMG90_05640;888;548;634;417;481;583;755;489;484;883;450;526
NMG90_17865;22431;12931;681;547;3801;15549;1124;8267;601;1472;660;510
NMG90_19675;329;181;298;308;175;180;407;236;297;338;248;336
NMG90_12445;2298;2088;1765;1605;1099;1393;2323;1863;1432;2455;1552;1247
NMG90_11085;12019;8863;9464;8004;9998;8271;8193;9233;7571;12794;6468;6122
NMG90_07145;371;395;425;409;310;250;581;319;393;560;411;379
NMG90_04390;2693;1919;2082;2183;1747;1626;2760;2355;1764;3184;1925;1850
NMG90_12575;310;176;41;27;222;271;46;283;30;390;34;43
NMG90_13065;1517;1187;2331;2031;1025;993;3012;1277;2418;2672;1985;2310
NMG90_23385;106;46;78;138;61;54;91;61;71;77;72;107
NMG90_24300;14422;13679;15293;15251;8066;8722;20108;11279;12073;17397;13948;10364
NMG90_20670;485;320;409;435;280;349;628;389;301;501;347;320
NMG90_02455;1611;1417;1173;1061;1364;1329;1359;1536;1060;1721;945;1184
NMG90_16660;2931;1705;1217;1218;1149;1717;1518;1968;969;1842;1234;1352
NMG90_09650;4650;1156;2285;3260;580;821;3089;1094;2230;1186;2830;3910
NMG90_17775;1722;1223;3205;3017;1563;2516;2804;3139;5571;2073;2451;2022
NMG90_02415;553;503;568;513;304;411;712;471;510;650;496;570
NMG90_10460;2068;1761;1484;1250;899;1378;2196;1754;1262;2273;1486;1345
NMG90_23890;3990;2886;3596;3475;1554;2008;5752;2766;3449;3450;3998;3700
NMG90_22025;4061;4037;4421;3549;2058;2825;5292;3028;3678;4278;3740;2747
NMG90_16605;1689;1451;1316;1582;1046;1512;2086;1595;1582;1905;1258;1640
NMG90_14175;29073;22471;22467;27833;20265;18809;33653;26165;24181;27997;23415;26851
NMG90_11925;1256;1168;1679;2059;1323;727;1948;1259;1802;1471;1502;1995
NMG90_11975;254;231;306;329;213;188;331;247;303;299;293;425
NMG90_12505;1414;1200;1299;1113;720;1114;1138;779;660;1222;1012;683
NMG90_07780;251;219;127;158;138;191;175;186;122;176;154;111
NMG90_06735;1767;1362;2121;1818;1096;1252;2243;1287;1603;1944;1503;1220
NMG90_10055;2600;2246;1099;1336;1565;2064;1669;2619;1162;2083;1200;1556
NMG90_05120;3698;4074;3648;3720;2266;2973;5640;3342;3608;4816;3332;3066
NMG90_00025;3884;3138;3105;2822;1705;2177;4162;2819;2593;3477;3308;3139
NMG90_01350;1636;1902;3294;2623;1269;1757;3190;2454;3499;2792;3506;2222
NMG90_12040;13;14;3;18;10;15;15;16;12;7;8;8
NMG90_22305;83604;69912;27140;32714;29315;41802;47846;44557;37162;55953;33769;43032
NMG90_21980;194;127;115;146;107;97;219;124;135;174;189;144
NMG90_12170;856;858;1061;859;603;667;1065;634;1023;1120;861;780
NMG90_04515;94;72;53;79;42;51;57;50;56;70;44;44
NMG90_02575;53;55;46;50;60;24;66;67;51;99;39;50
NMG90_14345;3324;2957;5738;4406;2925;3274;7269;3065;4892;7381;4560;4041
NMG90_02595;2010;1732;2772;3013;1547;1218;4309;1623;3373;3081;1962;2762
NMG90_09165;18;12;13;16;17;17;12;11;9;41;8;12
NMG90_01555;1114;784;1111;856;637;611;1184;653;713;1281;873;1001
NMG90_08625;830;678;730;693;725;685;911;673;714;1058;723;563
NMG90_05860;19856;14228;2122;2220;7695;8325;2098;12087;2148;8201;2071;2971
NMG90_15055;6287;4836;1927;2286;2573;6252;4126;4533;1368;1807;3708;2987
NMG90_21200;35;26;15;8;1;22;19;27;6;13;4;27
NMG90_20145;484;365;354;332;247;322;417;365;337;525;332;313
NMG90_01945;2285;1801;2022;1999;1497;1572;2725;1880;1798;2216;1622;1799
NMG90_13325;2858;2749;2016;2079;1720;1704;2564;2410;1979;2732;2054;2513
NMG90_17160;109;87;94;81;73;70;131;82;81;181;51;74
NMG90_15115;7946;7386;4459;3874;5118;9650;4532;7827;4185;5134;4188;3215
NMG90_16595;22245;11199;10456;7484;5973;17780;9351;11127;4787;10462;9703;4841
NMG90_08095;2096;1900;2481;2659;1635;1281;3222;1668;2198;2565;2009;2321
NMG90_15345;7303;5812;8447;13316;6026;6189;12056;9986;9287;6673;9679;8195
NMG90_02115;2432;2142;1462;1733;1103;1385;2669;1665;1848;2158;1623;2679
NMG90_13220;32091;19041;7959;8493;15287;18122;12615;23947;6658;18164;8437;13041
NMG90_23325;971;565;1035;1446;490;503;965;612;1387;778;1132;1168
NMG90_08085;1482;1192;1132;1318;1323;1005;1628;1195;1028;1733;921;1122
NMG90_11725;1163;665;623;605;581;716;798;764;622;661;698;1167
NMG90_07380;1997;2237;12533;16330;1413;1692;26861;1621;14560;6195;13629;10549
NMG90_06310;234;138;273;314;112;181;450;197;235;285;213;262
NMG90_21105;377;381;232;295;205;264;382;298;212;381;263;291
NMG90_00280;69;48;58;50;76;38;73;40;79;96;54;71
NMG90_05770;14569;6324;7765;6558;6679;10063;7767;7402;7540;7163;7492;12723
NMG90_24395;3344;3547;5088;4685;2580;2660;7054;3719;3531;3739;4534;3876
NMG90_10035;7131;5771;5499;5019;4506;5108;6242;5916;4540;7254;4796;4577
NMG90_18995;987;788;973;1201;882;510;1029;725;879;1176;842;1045
NMG90_14795;191;198;196;193;147;165;286;182;162;237;178;187
NMG90_02120;3372;2738;2556;2526;2281;3219;4171;2994;2197;4718;2678;2834
NMG90_15955;18063;18662;10368;12080;12307;19887;16065;21527;10958;16400;12897;12111
NMG90_22765;5023;3820;3765;3888;2212;3137;6475;3715;3033;4250;4400;3630
NMG90_13800;13321;10362;11487;12329;10252;8559;15497;11352;12134;14576;9518;12945
NMG90_02400;46;44;65;74;41;39;62;69;43;97;47;80
NMG90_17210;2438;1748;1241;1252;1246;1802;2530;1564;951;1831;1407;1465
NMG90_06070;6;12;1;4;7;3;19;3;4;8;3;2
NMG90_06980;274;255;184;203;155;169;360;245;208;385;234;176
NMG90_12715;621;462;677;641;356;391;717;392;589;717;560;609
NMG90_11795;64;83;161;63;67;87;130;46;121;180;140;100
NMG90_01340;1306;1246;1044;1099;940;945;1297;1074;1071;1658;995;1173
NMG90_03830;5478;4913;4895;4145;4238;4564;5616;4761;3994;5685;3658;3754
NMG90_10140;914;525;248;272;380;501;420;559;242;498;303;290
NMG90_12140;905;505;904;1159;517;539;1230;544;1258;1393;607;1306
NMG90_07350;5560;3950;5366;5986;4132;2986;6011;4126;6145;5775;4443;5263
NMG90_14755;1136;1682;972;1078;1031;1485;1330;1409;869;1247;979;832
NMG90_22675;160;107;184;171;84;111;247;125;147;144;191;113
NMG90_18360;1027;781;868;1008;634;821;1284;1009;1330;1185;889;1305
NMG90_06040;6590;12213;11828;15666;4369;4271;34876;4433;18904;18054;16305;17983
NMG90_24045;100;85;123;78;44;81;163;94;137;116;113;78
NMG90_13875;917;673;542;531;583;566;504;663;402;750;499;449
NMG90_20115;520;358;326;501;310;317;385;411;305;389;294;341
NMG90_21470;204;91;175;140;121;85;149;133;131;192;127;100
NMG90_24520;12;12;2;20;18;22;13;22;14;16;22;3
NMG90_14700;656;421;950;1136;534;634;1128;670;852;765;1107;1034
NMG90_02725;3595;3875;5241;4173;2288;2692;6793;2928;3606;4440;4386;3176
NMG90_15490;20;49;38;31;43;16;49;35;31;79;23;29
NMG90_11455;1018;623;762;736;692;857;937;766;657;1042;580;711
NMG90_21100;201;161;90;101;96;135;205;185;98;145;114;193
NMG90_03870;2058;1903;2291;1956;1300;1582;3387;1876;2261;3202;1940;2024
NMG90_02100;4051;6651;3962;3439;1799;2498;6306;2529;6872;7154;3688;4407
NMG90_17955;5998;4562;6286;5056;4075;5419;8057;4351;8468;11401;5337;9061
NMG90_19345;5476;4656;4507;4186;3885;4818;5098;4208;4823;4584;3958;4698
NMG90_16690;21970;14286;13205;14242;10615;12694;14570;14399;13370;13958;13021;13101
NMG90_04150;1481;1500;4563;4370;1655;1151;5241;1433;3797;2715;3779;2387
NMG90_14825;49161;46016;44877;38437;30487;27684;48757;31212;15996;27362;42413;37598
NMG90_23065;1006;860;514;620;565;616;849;701;530;920;542;602
NMG90_24400;2953;2777;3636;2602;1668;2374;5032;2421;2542;3305;3288;2095
NMG90_21230;6246;5457;4526;4380;3981;5263;6982;4817;3749;7521;3748;3990
NMG90_00995;320;305;260;238;206;218;368;282;266;428;186;282
NMG90_16765;51778;35632;25843;25842;21471;23332;31663;32731;21489;36652;23989;30567
NMG90_20365;5764;4835;4663;3860;4294;4355;5381;4497;3056;5104;3837;3302
NMG90_18835;72669;63037;60274;71519;56530;43114;74157;57849;82819;85545;50484;70492
NMG90_11135;5819;4195;4842;3958;3735;4272;7048;4198;4326;5346;3715;4207
NMG90_14310;732;718;535;475;677;730;1010;989;623;1450;449;740
NMG90_20025;23644;13706;7299;8532;7387;10670;12547;12552;5514;9828;10221;16729
NMG90_07950;2089;2011;2539;2522;1657;1535;3822;1718;2456;2997;2233;2229
NMG90_10885;1365;895;875;828;701;942;1017;982;804;1069;659;933
NMG90_19785;2045;1531;1000;1076;1418;1710;1359;2051;840;2092;936;1158
NMG90_12675;809;370;336;457;394;445;555;511;335;777;344;385
NMG90_02485;53;61;41;28;38;27;35;55;34;58;32;50
NMG90_10675;510;380;303;249;259;388;362;296;219;477;241;228
NMG90_02590;1588;1631;3252;2707;1380;1356;3490;1345;3472;3159;2412;2385
NMG90_20525;58;50;39;61;38;32;87;47;53;58;40;53
NMG90_17100;26941;23780;24339;23530;18262;20935;33864;21792;21582;31186;21129;22702
NMG90_03685;537;272;262;198;242;244;317;256;223;433;260;291
NMG90_09025;15515;15705;7495;8613;10284;11594;21868;16378;6921;19282;8063;14724
NMG90_01355;27384;22018;38295;37894;15092;18180;48489;21257;29781;27868;33411;29775
NMG90_20585;89;73;83;94;89;104;159;81;108;94;102;94
NMG90_17205;139;152;269;241;95;128;433;109;308;214;238;258
NMG90_17885;3713;1550;216;119;391;2653;333;922;130;321;175;158
NMG90_00420;6527;5044;4971;5413;4175;4271;7346;4783;4522;5324;4417;5626
NMG90_05730;104;81;135;143;96;74;150;69;85;117;112;64
NMG90_04755;731;163;237;197;256;295;183;342;185;235;186;283
NMG90_02600;1489;1328;1737;1690;1151;986;2250;1366;1676;2044;1298;1653
NMG90_05385;255;238;229;210;128;162;518;232;283;408;244;276
NMG90_18355;746;378;690;634;390;486;872;604;916;726;538;1137
NMG90_17520;1756;1592;1202;1203;1322;1485;1859;1989;1232;2086;1109;1531
NMG90_12120;27110;19677;19014;22450;17969;17077;26544;18651;24252;24691;16343;24307
NMG90_18080;2389;2405;3157;2734;1621;2240;2987;2523;2532;3512;2614;1798
NMG90_02775;14507;10486;8285;9373;7648;7330;10464;10008;8795;9632;7888;12139
NMG90_20280;3613;2669;4508;6016;2431;1893;7015;2429;6023;4814;4438;6828
NMG90_14320;2016;1961;2261;2190;1237;1483;4045;1595;2442;3257;2182;2071
NMG90_20165;167;122;200;192;147;96;184;147;162;178;150;175
NMG90_00680;431;442;306;251;217;303;308;319;255;411;199;306
NMG90_00125;9081;7653;11519;10997;5708;8407;16572;9511;12379;12965;11685;11477
NMG90_20325;342;407;290;271;233;227;394;260;252;468;327;269
NMG90_18450;954;1857;548;560;684;717;791;787;727;1786;863;587
NMG90_06740;4651;3230;4015;3701;3010;2606;4195;3640;2768;3677;3018;2493
NMG90_01605;426;350;270;312;299;281;340;400;319;402;223;347
NMG90_23905;1557;1286;1165;1112;855;1378;1774;1140;1243;1229;1313;1126
NMG90_21500;1898;1332;2027;2014;1262;1234;1796;1586;1512;1608;1588;1464
NMG90_16800;10097;7065;10016;10305;5761;5823;10420;6410;9062;11150;7749;8332
NMG90_23505;18;23;51;79;35;9;69;35;520;126;47;52
NMG90_07155;225;198;180;241;191;144;329;176;229;261;191;162
NMG90_16835;69535;76056;108151;125169;58753;47379;167087;56251;128490;115692;97186;159692
NMG90_15245;213;203;219;290;191;166;315;195;189;256;196;196
NMG90_16340;2004;1424;1241;1098;1216;1319;1592;1349;1131;1726;1077;1103
NMG90_24870;1104;1125;871;804;510;725;1643;756;878;1134;849;986
NMG90_10345;8;0;4;14;1;2;13;5;4;5;6;3
NMG90_04585;2437;2125;2506;2377;1823;1951;3171;2221;2111;3222;1956;1753
NMG90_19015;706;561;552;592;548;548;523;517;478;858;433;477
NMG90_14575;1167;1219;2135;1565;698;1009;2531;969;1629;1582;1963;1444
NMG90_07230;2;2;0;2;0;0;0;0;0;0;6;2
NMG90_12955;46712;42067;49188;49519;30245;32031;65120;35944;46727;53482;42452;45492
NMG90_06570;1429;1361;1027;853;739;950;1166;1034;1069;1333;843;739
NMG90_12650;2226;840;737;682;452;732;1092;725;2652;1219;893;1995
NMG90_23645;425;352;359;262;231;239;407;279;247;413;311;309
NMG90_19600;599;419;387;358;343;438;459;420;387;493;316;348
NMG90_03200;2056;1815;1908;1684;1153;1422;2510;1691;1563;2326;1764;1833
NMG90_10315;2;11;11;9;4;4;30;18;14;20;24;2
NMG90_24370;1548;1201;1611;1516;869;1194;2083;1313;1172;1740;1350;1661
NMG90_10290;24;27;24;22;22;46;49;69;43;31;51;40
NMG90_01850;1101;884;804;1128;708;519;1187;766;863;819;816;1220
NMG90_22540;2088;2025;1395;1380;1486;1434;1624;1646;1724;1796;1244;1214
NMG90_01845;3308;2767;3402;4282;2615;1898;4612;2498;3837;3856;3094;4290
NMG90_13665;1307;1061;1143;1233;823;797;1323;770;1343;1160;1220;1395
NMG90_12230;17230;17696;17322;14402;11003;12381;21082;13455;15068;20566;13768;11723
NMG90_14355;3234;6923;5783;4128;8259;8608;7281;10505;5805;14213;4972;2612
NMG90_11960;36457;29832;46703;56850;33495;24620;59819;30875;50424;41516;39960;54607
NMG90_01745;691;517;340;464;412;347;301;523;361;448;361;309
NMG90_02105;622;714;288;423;174;372;620;366;548;562;412;754
NMG90_15140;3559;2865;3688;3150;1230;2810;4169;1996;2622;2376;3388;2974
NMG90_09370;4390;1941;3472;4571;2354;3319;8038;3580;3654;3124;4367;3825
NMG90_17400;6246;5009;6915;6979;2840;5912;10089;4723;6325;4895;8195;6844
NMG90_07755;2485;2209;2830;2482;1854;2080;3697;1895;2603;3376;2369;1826
NMG90_03230;6639;5153;4994;4428;3559;4242;4986;3738;4415;4126;4297;4371
NMG90_12175;1927;1399;1925;1853;1015;956;2572;1311;1686;1746;1736;2414
NMG90_16380;8963;6337;4250;5351;4499;5357;7614;6163;5107;7617;4655;6185
NMG90_08815;83666;93695;68232;72019;51461;59567;130489;60943;66322;70978;76823;69531
NMG90_24205;2884;2432;3536;3398;1535;1933;4683;2085;3008;3322;2944;2508
NMG90_18370;889;735;1062;859;544;887;1599;856;841;1216;895;791
NMG90_05675;36063;30323;48513;43256;21251;29357;54424;28284;40346;44897;38467;30022
NMG90_23665;11659;14161;5704;4890;5809;9952;5271;9023;5094;9194;5509;4509
NMG90_12545;5777;4450;7532;7591;4159;4365;9668;4744;7900;8261;6724;7392
NMG90_11720;372;203;154;213;203;261;338;276;245;260;259;498
NMG90_09395;178;205;260;189;99;224;348;187;330;369;257;241
NMG90_09985;641;694;611;544;481;399;841;474;641;755;458;494
NMG90_07820;41963;32564;50498;55716;31907;26899;65885;32395;42133;47336;40237;45479
NMG90_01170;2305;2322;2485;2531;1620;2200;3887;2161;2260;2893;2038;1940
NMG90_23545;117;155;288;246;153;97;236;109;314;234;221;259
NMG90_16050;186;138;151;164;100;104;193;134;160;248;177;176
NMG90_10050;59983;55503;20665;8643;41396;72274;9669;48817;11080;36525;12142;7329
NMG90_00335;5506;6206;4558;4657;4067;4892;6494;6064;5211;6208;4674;3833
NMG90_01415;3641;4049;4726;4049;2730;2794;5443;2868;4076;4911;3728;3551
NMG90_12970;3;8;6;9;11;9;0;12;0;10;10;2
NMG90_04885;37404;26669;29880;21715;20172;28879;28279;28617;13819;22327;21942;13984
NMG90_03730;341;215;118;169;138;146;172;240;95;172;152;226
NMG90_00355;2306;1780;1637;1428;1212;1329;1938;1557;1410;1925;1413;1404
NMG90_07565;2173;1850;893;948;1174;1966;1587;1725;863;1511;1112;1298
NMG90_11175;794;497;896;889;355;465;1258;557;875;881;745;678
