feature_id;NS.1905.001.NEBNext_dual_i7_147---NEBNext_dual_i5_147.BS2_120;NS.1905.001.NEBNext_dual_i7_152---NEBNext_dual_i5_152.BM1_120;NS.1905.001.NEBNext_dual_i7_149---NEBNext_dual_i5_149.BS3_20;NS.1905.001.NEBNext_dual_i7_142---NEBNext_dual_i5_142.BM2_20;NS.1905.001.NEBNext_dual_i7_143---NEBNext_dual_i5_143.BM3_120;NS.1905.001.NEBNext_dual_i7_151---NEBNext_dual_i5_151.BS3_120;NS.1905.001.NEBNext_dual_i7_148---NEBNext_dual_i5_148.BM1_20;NS.1905.001.NEBNext_dual_i7_144---NEBNext_dual_i5_144.BM2_120;NS.1905.001.NEBNext_dual_i7_150---NEBNext_dual_i5_150.BS1_20;NS.1905.001.NEBNext_dual_i7_141---NEBNext_dual_i5_141.BS1_120;NS.1905.001.NEBNext_dual_i7_145---NEBNext_dual_i5_145.BM3_20;NS.1905.001.NEBNext_dual_i7_146---NEBNext_dual_i5_146.BS2_20
NMG90_21895;89;68;80;32;45;59;77;54;50;139;28;75
NMG90_10595;2489;1379;2502;3312;1321;1121;3605;1691;3228;3561;2918;2184
NMG90_11065;842;661;1122;999;526;629;1530;694;1080;1161;876;983
NMG90_03360;10237;9044;9994;12552;7850;7650;12198;8847;9954;11568;8961;11016
NMG90_09560;5;0;1;3;3;2;6;4;4;4;4;4
NMG90_08770;7588;6377;4870;4251;3589;5565;6675;4707;3503;4722;4726;4021
NMG90_10525;1296;956;739;1091;938;704;931;966;781;748;788;929
NMG90_03930;20457;16767;21160;21480;12903;15587;21615;13544;20709;21659;17868;17501
NMG90_10295;12;14;20;20;6;15;14;10;18;16;7;6
NMG90_00330;8442;8329;9318;6747;4664;6463;9865;5094;6917;7669;7464;5359
NMG90_19230;2380;1988;3278;3033;1627;1829;3172;2240;2778;2653;2990;2175
NMG90_22895;260;275;175;200;160;169;334;195;168;280;216;254
NMG90_14685;1445;1058;1480;1613;1332;1009;1709;1593;1329;1416;1221;1211
NMG90_24590;132;101;100;184;91;72;77;106;117;126;89;75
NMG90_12580;1221;805;182;100;655;1088;189;1029;155;1331;131;106
NMG90_24580;207;251;191;221;167;132;247;225;221;268;222;156
NMG90_12825;8186;5646;7249;6343;3634;5566;9612;5843;5961;8229;6554;5666
NMG90_03380;1001;891;1250;975;656;747;1342;921;1061;1421;913;856
NMG90_03835;5560;4678;3290;2967;3520;4118;3579;4196;2831;3794;2837;3538
NMG90_23780;302;204;281;247;157;149;330;149;230;248;278;262
NMG90_11060;1616;1312;1291;1257;1007;1209;1735;1540;1252;1778;1249;1351
NMG90_01685;172;144;115;160;126;122;144;116;125;230;127;120
NMG90_16550;9385;6870;4142;4093;4817;6165;6310;6984;3806;6692;4424;5373
NMG90_17245;1063;808;1053;1418;658;706;1790;848;1090;1127;1135;1373
NMG90_21430;3491;2978;1937;1564;1988;2696;2917;2196;1875;3589;1833;1925
NMG90_00190;3200;2465;5165;4799;2042;2046;5309;2327;3596;2924;4681;3274
NMG90_10160;1441;1021;573;503;786;870;725;1039;398;936;500;501
NMG90_10175;1547;1099;1506;1359;848;1262;2261;1139;1379;1467;1317;1294
NMG90_22890;757;599;403;442;327;382;734;454;375;451;425;494
NMG90_03340;5739;4545;4558;4330;2811;3048;5658;3764;3658;4989;4074;4323
NMG90_23785;2607;2367;1723;1917;1732;1818;2444;1975;1561;2855;1649;1871
NMG90_18475;30239;26461;25750;26436;16622;23815;44022;25705;25606;33376;27638;24473
